CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,POPULATION,CNTY_CITY_LOC,BEAT_TYPE,CHP_BEAT_TYPE,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION
9078655,2020,20200630,3004,20200316,0920,P549,31,1,6,3004,0,0,BRISTOL ST,REDHILL AV,0,W,N
9078656,2020,20200630,1900,20200311,1620,456352,0521,3,4,1971,0,0,TEMPLE CITY BL,LEMON AV,0,S,N
9078657,2020,20200701,2406,20200330,1451,289,2,1,5,2406,0,0,Q ST,WEST MAIN ST,0,S,N
9078658,2020,20200701,2401,20200316,0905,716,2401,1,3,2401,0,0,COMMERCE AV,APPLEGATE RD,0,E,N
9078660,2020,20200630,1900,20200313,1238,532124,0523,5,4,1971,0,0,TEMPLE CITY BL,WORKMAN AV,0,S,N
9078661,2020,20200625,1900,20200319,1148,LM1510,0467,4,4,1936,0,0,ROSECRANS AV,MERCADO AV,0,E,N
9078662,2020,20200625,3011,20200322,2500,31407,33,7,4,3011,0,0,HILL ST,ACACIA DR,0,N,N
9078665,2020,20200625,1900,20200318,1327,NK4688,0453,3,6,1949,0,0,FIRESTONE BL,WOODS AV,0,W,N
9078669,2020,20200625,1900,20200306,1646,NK4704,0459,5,6,1949,0,0,CARMENITA RD,ROSECRANS AV,0,S,N
9078672,2020,20200624,4401,20200310,2248,532,4401,2,3,4401,0,0,HILL ST,LAWRENCE AV,0,W,N
9078674,2020,20200625,1942,20200324,0910,40275,0407,2,7,1942,0,0,PAULA ST,MONTEREY RD,0,E,N
9078678,2020,20200625,1907,20200305,2210,235,2,4,4,1907,0,0,KING AV,BROMPTON AV,0,N,N
9078682,2020,20200625,0109,20200323,0532,9517,2,1,7,0109,0,0,SAN LEANDRO ST,66TH AV,0,E,N
9078683,2020,20200625,0109,20200312,1557,9836,2,4,7,0109,0,0,96TH AV,BANCROFT AV,0,S,N
9078684,2020,20200625,0107,20200328,1614,M503,C610,6,5,0107,0,0,7TH AV,S J ST,0,E,N
9078685,2020,20200625,340H,20200328,1401,10659,1210,6,5,3450,0,0,ELK GROVE BL,STONELAKE CLUB DR,0,W,N
9078686,2020,20200625,0109,20200328,1630,9275,2,6,7,0109,0,0,INTERNATIONAL BL,TUCKER ST,0,E,N
9078688,2020,20200625,3004,20200210,2353,P670,32,1,6,3004,0,0,BRISTOL ST,SUNFLOWER AV,0,S,N
9078689,2020,20200625,340H,20200329,2300,10678,5104,7,5,3450,0,0,ELK GROVE BL,EMERALD VISTA DR,0,S,N
9078690,2020,20200625,0109,20200328,0830,9618,2,6,7,0109,0,0,MACARTHUR BL,HIGH ST,0,E,N
9078694,2020,20200625,0109,20200324,0100,9828,2,2,7,0109,0,0,77TH AV,BANCROFT AV,0,S,N
9078699,2020,20200716,0107,20200327,1135,Y462,A520,5,5,0107,0,0,HOLMES ST,MOCHO ST,0,S,N
9078700,2020,20200625,1955,20200331,1808,41974,30,2,6,1955,0,0,GAREY AV,FOOTHILL BL,0,N,N
9078701,2020,20200710,0402,20200330,1534,P04042,101,1,5,0402,0,0,E 9TH ST,ALDER ST,0,E,N
9078702,2020,20200710,1900,20200330,1225,612438,0543,1,3,1921,0,0,ROYAL OAKS DR,LAS LOMAS RD,0,E,N
9078703,2020,20200710,1942,20200307,2015,39022,0849,6,7,1942,0,0,ROBERTSON BL,WHITWORTH DR,0,S,N
9078704,2020,20200710,1942,20200301,1350,42640,0853,7,7,1942,0,0,SANTA MONICA BL,SAWTELLE BL,0,E,N
9078706,2020,20200710,1900,20200321,1803,617953,0542,6,3,1921,0,0,HUNTINGTON DR,CRESTFIELD DR,0,W,N
9078707,2020,20200710,1942,20200310,1335,42640,0881,2,7,1942,0,0,OLYMPIC BL,BEYOND WY,0,W,N
9078708,2020,20200710,1942,20200301,1315,42656,0826,7,7,1942,0,0,S KENTER AV,SUNSET BL,0,S,N
9078713,2020,20200710,1942,20200301,1335,36553,0815,7,7,1942,0,0,VETERAN AV,OPHIR DR,0,N,N
